Site,Latitude,Longitude
BA Flux Tower,35.88859333333333,-106.53185
Banner Open,44.30455222222223,-115.23601000000001
Banner Snotel,44.303619,-115.23456600000002
Bogus Lower,43.757012499999995,-116.0908625
Bogus Upper,43.758813636363634,-116.09019090909092
C1,40.033171249999995,-105.54615625
Caples Lake,38.71027,-120.04187200000001
County Line Open,39.03052,-108.0321325
Forest,39.429545,-120.242105
Gothic,38.959247500000004,-106.9905375
HQ Met Station,35.857908571428574,-106.52137142857143
Irwin Barn,38.88812000000001,-107.10796000000002
Joe Wright,40.53262,-105.88783
K-1,43.94854999999999,-115.67831
K-2,43.94736999999999,-115.67682
K-3,43.94805000000001,-115.67506000000002
K-4,43.94711999999999,-115.67213
K-5,43.94673,-115.66909
K1,43.94855,-115.67831
LDP Open,43.737053333333336,-116.12181166666664
LDP Tree,43.736352,-116.12054800000001
Michigan River,40.518638571428575,-105.89192857142858
Mores Creek Summit,43.93209000000001,-115.66575999999999
Open,39.43036,-120.23982
Saddle,40.05497,-105.59065
Senator Beck,37.9070625,-107.726265
Skyway Open,39.04423444444445,-108.06202
Swamp Angel,37.90713625,-107.71121
TOW-1,43.95495999999999,-115.68155
TOW-2,43.95248,-115.68159
TOW-3,43.95254,-115.67988000000001
Tower 4,39.42216,-120.29898
