Latitude,Longitude,Date,"Local 
Time",Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,SWE (mm) A,SWE (mm) B,SWE (mm) C,DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,Melt,Comments,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
40.5639,-105.8673,2021-01-13,13:40,1,COCPCP,CO,Cameron Pass,Cameron Peak, , , , , , , , , ,No,No stormboard measurements taken. Stormboard placed on 13 Jan 2021, , , 
40.5639,-105.8673,2021-01-15,13:45,1,COCPCP,CO,Cameron Pass,Cameron Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,"No interval board measurements taken. No accumulation, or possibly wind scour since last vist on 13 Jan 21.",0.0,0.0, 
40.5639,-105.8673,2021-01-20,14:10,2,COCPCP,CO,Cameron Pass,Cameron Peak,16.8,17.0,16.4,27.5,27.9,26.2,164.0,165.0,160.0,No, ,16.7,27.0,162.0
40.5639,-105.8673,2021-01-27,14:00,3,COCPCP,CO,Cameron Pass,Cameron Peak,21.2,21.6,21.0,27.0,28.0,27.5,127.0,130.0,131.0,No, ,21.3,28.0,132.0
40.5639,-105.8673,2021-02-02,13:10,4,COCPCP,CO,Cameron Pass,Cameron Peak,5.0,5.0,4.9,7.0,7.0,7.0,140.0,140.0,143.0,No, ,5.0,7.0,140.0
40.5639,-105.8673,2021-02-10,13:05,5,COCPCP,CO,Cameron Pass,Cameron Peak,48.5,48.0,48.5,72.0,66.0,68.0,149.0,138.0,141.0,No, ,48.3,69.0,143.0
40.5639,-105.8673,2021-02-18,13:30,6,COCPCP,CO,Cameron Pass,Cameron Peak,23.0,23.2,23.0,30.0,30.0,30.0,131.0,130.0,131.0,No, ,23.1,30.0,130.0
40.5639,-105.8673,2021-02-24,13:15,7,COCPCP,CO,Cameron Pass,Cameron Peak,11.0,10.9,11.4,14.0,14.0,14.0,128.0,129.0,123.0,Yes,Thin surface melt crust,11.1,14.0,127.0
40.5639,-105.8673,2021-03-03,13:45,8,COCPCP,CO,Cameron Pass,Cameron Peak,9.8,9.6,9.4,17.0,17.0,17.0,174.0,178.0,181.0,No,Some radiation melt at surface. No melt observed in interval accumulation.,9.6,17.0,178.0
40.5639,-105.8673,2021-03-09,12:30,9,COCPCP,CO,Cameron Pass,Cameron Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No, ,0.0,0.0, 
