Location,Site,Latitude,Longitude,Elevation (m)
Boise River Basin,BB_1,43.73154,-116.13968,1616
Boise River Basin,BB_2,43.73302,-116.1227,1688
Boise River Basin,BB_3,43.73636,-116.1209,1807
Boise River Basin,BB_4,43.73747,-116.12167,1836
Boise River Basin,BB_5,43.76006,-116.10379,1967
Boise River Basin,BB_7,43.75729,-116.09081,2051
Boise River Basin,BB_6,43.75717,-116.09092,2076
Boise River Basin,MC_1,43.93208,-115.66576,1866
Boise River Basin,MC_2,43.94678,-115.6684,2031
Boise River Basin,MC_3,43.94743,-115.67196,2134
Boise River Basin,MC_4,43.94786,-115.6748,2237
Boise River Basin,MC_7,43.95258,-115.67997,2278
Boise River Basin,MC_6,43.94854,-115.67828,2305
Boise River Basin,MC_8,43.95249,-115.68174,2307
Boise River Basin,MC_9,43.9549,-115.68158,2364
Boise River Basin,LR_1,44.07249,-115.51688,1246
Boise River Basin,LR_2,44.13563,-115.31426,1437
Boise River Basin,LR_3,44.19866,-115.24869,1605
Boise River Basin,LR_4,44.23075,-115.21862,1756
Boise River Basin,LR_5,44.30344,-115.23461,2162
Boise River Basin,LR_6,44.30309,-115.23465,2174
Boise River Basin,LR_7,44.29675,-115.23961,2318
Boise River Basin,LR_8,44.29088,-115.24397,2416
Boise River Basin,LR_9,44.2833,-115.24156,2482
Boise River Basin,MC_5,43.94737,-115.67679,2273
Cameron Pass,Cameron Peak,40.5639,-105.8673,3014
Cameron Pass,Michigan River,40.5186,-105.8916,3130
Fraser Experimental Forest,FS16,39.92742,-105.86334,2722
Fraser Experimental Forest,FS15,39.92794,-105.8646,2724
Fraser Experimental Forest,FS14,39.92616,-105.86673,2731
Fraser Experimental Forest,FS6,39.92845,-105.8685,2735
Fraser Experimental Forest,FS8,39.92474,-105.86826,2735
Fraser Experimental Forest,FS17,39.92627,-105.86912,2736
Fraser Experimental Forest,FS7,39.92512,-105.86994,2737
Fraser Experimental Forest,FS9,39.9235,-105.87027,2741
Fraser Experimental Forest,FS5,39.92933,-105.87081,2746
Fraser Experimental Forest,FS2,39.92416,-105.87312,2752
Fraser Experimental Forest,FS4,39.9296,-105.8734,2754
Fraser Experimental Forest,FS1,39.92084,-105.87384,2756
Fraser Experimental Forest,FS3,39.92577,-105.87337,2766
Fraser Experimental Forest,B2,39.90702,-105.87905,2768
Fraser Experimental Forest,B1,39.90696,-105.87789,2770
Fraser Experimental Forest,JF,39.90566,-105.88304,2771
Fraser Experimental Forest,JS,39.90566,-105.88305,2771
Senator Beck,Silverton,37.81433,-107.66501,2849
Senator Beck,Brooklyns,37.85724,-107.72503,3080
Senator Beck,Swamp Angel,37.90715,-107.71119,3375
Senator Beck,Meadow,37.90099,-107.71702,3464
Senator Beck,Crux,37.90183,-107.71987,3520
